R2-USB,149.05,49.65,270.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,156.63,49.22,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,115.04,51.65,0.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH,151.84,9.73,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,96.74,57.40,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,66.77,11.29,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,64.15,12.27,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,51.03,34.53,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,54.03,34.41,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,44.91,35.61,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,35.31,43.91,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,73.09,26.23,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.15,107.90,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,27.63,107.91,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,93.34,62.35,270.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.56,107.99,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,76.47,23.85,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,45.89,107.96,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,149.09,14.71,90.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,64.18,10.31,180.00,,SJ
TP3V3,78.97,77.21,0.00,TPTP20R,TP20R
TPEPD3V3,87.12,32.01,0.00,TPTP20R,TP20R
TPEPD3V3C,72.12,31.91,0.00,TPTP20R,TP20R
TPEPDBUSY,100.23,20.39,0.00,TPTP20R,TP20R
TPEPDCS,100.02,11.41,0.00,TPTP20R,TP20R
TPEPDDC,100.07,14.31,0.00,TPTP20R,TP20R
TPEPDRST,100.09,17.33,0.00,TPTP20R,TP20R
TPGND,99.73,24.39,0.00,TPTP20R,TP20R
TPGND1,150.95,62.89,0.00,TPTP20R,TP20R
TPINTRTC,79.02,70.81,0.00,TPTP20R,TP20R
TPMISO,7.27,73.49,0.00,TPTP20R,TP20R
